daoguang|道光帝
pengyongwu|彭咏梧
zhishunyi|郅顺义
fanzhongyan|范仲淹
ouyangxiu|欧阳修
baozheng|包拯
huangdaopo|黄道婆
guanhanqing|关汉卿
jikang|嵇康
ruanji|阮籍
xielingyun|谢灵运
gukaizhi|顾恺之
ganbao|干宝
huatuo|华佗
zhangzhongjing|张仲景
sunsimiao|孙思邈
lishizhen_yi|扁鹊
wangwei|王维
baijuyi|白居易
hanyu|韩愈
liuzongyuan|柳宗元
liuyuxi|刘禹锡
menghaoran|孟浩然
hezhizhang|贺知章
dumu|杜牧
lishangyin|李商隐
gao_shi|高适
wangchangling|王昌龄
yanzhenqing|颜真卿
liugongquan|柳公权
wudaozi|吴道子
huaisu|怀素
shangguanwaner|上官婉儿
liuyong_ci|柳永
yanshu|晏殊
zhuxi|朱熹
yangwanli|杨万里
wangyangming|王阳明
tangyin|唐寅（唐伯虎）
xuxiake|徐霞客
tangxianzu|汤显祖
fengmenglong|冯梦龙
li_zhi|李贽
guYanwu|顾炎武
huangzongxi|黄宗羲
wangfuzhi|王夫之
caoxueqin|曹雪芹
wujingzi|吴敬梓
pusongling|蒲松龄
zhengbanqiao|郑板桥
yuanmei|袁枚
zhaomengfu|赵孟頫
mazhiyuan|马致远
wangshifu|王实甫
sunwu|孙武
sunbin|孙膑
pangjuan|庞涓
leYi|乐毅
tianji_sai|田忌
luban|鲁班
simaxiangru|司马相如
zhuowenjun|卓文君
caiwenji|蔡文姬
banzhao|班昭
jiayi_wen|贾思勰
sengyixing|僧一行
laoshe|老舍
bajin|巴金
shencongwen|沈从文
caoyu|曹禺
meilanfang|梅兰芳
qibaishi|齐白石
xuzhimo|徐志摩
yudafu|郁达夫
shangzhouwang|商纣王（帝辛）
bigan|比干
zhouwenwang|周文王姬昌
chuzhuangwang|楚庄王
qinmugong|秦穆公
fanju|范雎
lvbuwei|吕不韦
fusu|扶苏
zhaogao|赵高
lvzhi|吕雉（吕后）
suwu|苏武
chentang|陈汤
zhaoyun|赵云
guojia|郭嘉
pangtong|庞统
dengai|邓艾
zhonghui|钟会
wangmeng|王猛
liuyu_daijin|刘裕
huanwen|桓温
liyuan|李渊（唐高祖）
taipinggongzhu|太平公主
liguangbi|李光弼
tangxianzong|唐宪宗
licunxu|李存勖
fengdao|冯道
songtaizong|宋太宗赵光义
songrenzong|宋仁宗赵祯
diqing|狄青
zongze|宗泽
zhangshijie|张世杰
liyu|李渔
yelvabaoji|耶律阿保机
wanyanaguda|完颜阿骨打
liyuanhao|李元昊
zhengchenggong|郑成功
weizhongxian|魏忠贤
lidingguo|李定国
luxiangsheng|卢象升
dengshichan_qing|邓世昌
chenhuacheng|陈化成
caokun|曹锟
yanxishan|阎锡山
daianlan|戴安澜
sunliren|孙立人
bogu|博古（秦邦宪）
wangruofei|王若飞
xuteli|徐特立
linboqu|林伯渠
xuxiangqian|徐向前
xuhaidong|徐海东
luoruiqing|罗瑞卿
denghua|邓华
chenxilian|陈锡联
hanxianchu|韩先楚
yumin|于敏
wangganchang|王淦昌
huangxuhua|黄旭华
sunjiadong|孙家栋
nanrendong|南仁东
wangbo|王勃
chenziang|陈子昂
lihe|李贺
huangtingjian|黄庭坚
mifu|米芾
wenzhengming|文徵明
badashanren|八大山人
lianghongyu|梁红玉
qinliangyu|秦良玉
xianfuren|冼夫人
linhuizhang|林徽因
dengyingchao|邓颖超
xiaohong|萧红
luoguanzhong|罗贯中
shinaian|施耐庵
wuchengen|吴承恩
jinshengtan|金圣叹
hongsheng|洪昇
kongshangren|孔尚任
liue|刘鹗
wujianren|吴趼人
